trainNo,dayOfWeek,bookingCount,occupancyRate
12627,0,48,0.37
12627,1,90,0.5
12627,2,55,0.79
12627,3,159,0.4
12627,4,128,0.37
12627,5,43,0.48
12627,6,149,0.71
12617,0,163,0.47
12617,1,159,0.6
12617,2,134,0.7
12617,3,21,0.81
12617,4,60,0.77
12617,5,107,0.52
12617,6,75,0.92
11402,0,106,0.41
11402,1,117,0.41
11402,2,108,0.71
11402,3,31,0.79
11402,4,157,0.42
11402,5,116,0.4
11402,6,95,0.85
12415,0,178,0.88
12415,1,112,0.7
12415,2,37,0.38
12415,3,78,0.81
12415,4,40,0.86
12415,5,45,0.58
12415,6,136,0.73
12227,0,113,0.45
12227,1,110,0.48
12227,2,88,0.77
12227,3,38,0.72
12227,4,63,0.67
12227,5,82,0.45
12227,6,117,0.51
22192,0,162,0.48
22192,1,103,0.86
22192,2,34,0.49
22192,3,28,0.83
22192,4,122,0.51
22192,5,74,0.9
22192,6,165,0.88
12920,0,100,0.48
12920,1,147,0.59
12920,2,137,0.44
12920,3,55,0.5
12920,4,163,0.67
12920,5,169,0.61
12920,6,169,0.59
12951,0,76,0.95
12951,1,55,0.66
12951,2,43,0.8
12951,3,48,0.44
12951,4,60,0.83
12951,5,128,0.71
12951,6,118,0.58
12002,0,139,0.67
12002,1,161,0.87
12002,2,22,0.76
12002,3,49,0.76
12002,4,157,0.8
12002,5,107,0.42
12002,6,131,0.44
12124,0,20,0.92
12124,1,87,0.93
12124,2,65,0.65
12124,3,47,0.87
12124,4,96,0.86
12124,5,149,0.72
12124,6,59,0.57
12129,0,61,0.67
12129,1,155,0.9
12129,2,173,0.54
12129,3,24,0.42
12129,4,112,0.88
12129,5,98,0.49
12129,6,81,0.88
12810,0,40,0.4
12810,1,144,0.84
12810,2,156,0.81
12810,3,52,0.75
12810,4,160,0.45
12810,5,155,0.87
12810,6,128,0.93
