segmentId,fromStationCode,toStationCode,distanceKm,trackType,electrification
SEG0001,NDLS,MTJ,150.0,DOUBLE,ELECTRIFIED
SEG0002,MTJ,AGC,87.2,DOUBLE,ELECTRIFIED
SEG0003,AGC,GWL,137.3,DOUBLE,ELECTRIFIED
SEG0004,GWL,VGLJ,110.6,DOUBLE,ELECTRIFIED
SEG0005,VGLJ,BINA,73.7,DOUBLE,ELECTRIFIED
SEG0006,BINA,BPL,126.8,DOUBLE,ELECTRIFIED
SEG0007,BPL,ET,91.2,DOUBLE,ELECTRIFIED
SEG0008,ET,KNW,113.0,DOUBLE,ELECTRIFIED
SEG0009,KNW,BSL,84.7,DOUBLE,ELECTRIFIED
SEG0010,BSL,MMR,166.6,DOUBLE,ELECTRIFIED
SEG0011,MMR,DD,73.2,DOUBLE,ELECTRIFIED
SEG0012,DD,SUR,151.4,DOUBLE,ELECTRIFIED
SEG0013,SUR,WADI,185.7,DOUBLE,ELECTRIFIED
SEG0014,WADI,GTL,89.9,DOUBLE,ELECTRIFIED
SEG0015,GTL,DMM,91.7,DOUBLE,ELECTRIFIED
SEG0016,DMM,SBC,87.2,DOUBLE,ELECTRIFIED
SEG0017,SOU,SHC,96.2,DOUBLE,ELECTRIFIED
SEG0018,SHC,JBP,111.8,DOUBLE,ELECTRIFIED
SEG0019,JBP,NGP,84.5,DOUBLE,ELECTRIFIED
SEG0020,NGP,G,147.6,DOUBLE,ELECTRIFIED
SEG0021,G,R,209.0,DOUBLE,ELECTRIFIED
SEG0022,R,BPL,75.8,DOUBLE,ELECTRIFIED
SEG0023,INDB,RTM,176.4,DOUBLE,ELECTRIFIED
SEG0024,RTM,KOTA,57.2,DOUBLE,ELECTRIFIED
SEG0025,KOTA,GWL,167.7,DOUBLE,ELECTRIFIED
SEG0026,VGLJ,AGC,161.1,DOUBLE,ELECTRIFIED
SEG0027,AGC,MTJ,87.2,DOUBLE,ELECTRIFIED
SEG0028,MTJ,NDLS,150.0,DOUBLE,ELECTRIFIED
SEG0029,MMCT,ST,192.0,DOUBLE,ELECTRIFIED
SEG0030,ST,BRC,63.8,DOUBLE,ELECTRIFIED
SEG0031,BRC,RTM,66.0,DOUBLE,ELECTRIFIED
SEG0032,RTM,INDB,176.4,DOUBLE,ELECTRIFIED
SEG0033,JBP,BPL,111.8,DOUBLE,ELECTRIFIED
SEG0034,MMR,RTM,197.2,DOUBLE,ELECTRIFIED
SEG0035,KOTA,AGC,172.4,DOUBLE,ELECTRIFIED
SEG0036,ET,NDLS,66.0,DOUBLE,ELECTRIFIED
SEG0037,ET,BINA,207.5,DOUBLE,ELECTRIFIED
SEG0038,BINA,VGLJ,73.7,DOUBLE,ELECTRIFIED
SEG0039,VGLJ,GWL,110.6,DOUBLE,ELECTRIFIED
SEG0040,GWL,AGC,137.3,DOUBLE,ELECTRIFIED
SEG0041,PUNE,DD,98.5,DOUBLE,ELECTRIFIED
SEG0042,DD,MMCT,82.6,DOUBLE,ELECTRIFIED
SEG0043,CSMT,MMCT,59.1,DOUBLE,ELECTRIFIED
SEG0044,VGLJ,BPL,155.8,DOUBLE,ELECTRIFIED
