trainNo,sequence,stationCode,arrival,departure,distanceFromOriginKm,nextSegmentId,haltMinutes
12627,1,NDLS,06:07,06:12,0,SEG0001,0
12627,2,MTJ,08:14,08:19,150.0,SEG0002,5
12627,3,AGC,10:21,10:26,237.2,SEG0003,5
12627,4,GWL,12:28,12:33,374.5,SEG0004,5
12627,5,VGLJ,14:35,14:40,485.1,SEG0005,5
12627,6,BINA,16:42,16:47,558.8,SEG0006,5
12627,7,BPL,18:49,18:54,685.6,SEG0007,5
12627,8,ET,20:56,20:01,776.8,SEG0008,5
12627,9,KNW,22:03,22:08,889.8,SEG0009,5
12627,10,BSL,00:10,00:15,974.5,SEG0010,5
12627,11,MMR,02:17,02:22,1141.1,SEG0011,5
12627,12,DD,04:24,04:29,1214.3,SEG0012,5
12627,13,SUR,06:31,06:36,1365.7,SEG0013,5
12627,14,WADI,08:38,08:43,1551.4,SEG0014,5
12627,15,GTL,10:45,10:50,1641.3,SEG0015,5
12627,16,DMM,12:52,12:57,1733.0,SEG0016,5
12627,17,SBC,14:59,14:04,1820.2,,0
12617,1,NDLS,06:07,06:12,0,SEG0001,0
12617,2,MTJ,08:14,08:19,150.0,SEG0002,5
12617,3,AGC,10:21,10:26,237.2,SEG0003,5
12617,4,GWL,12:28,12:33,374.5,SEG0004,5
12617,5,VGLJ,14:35,14:40,485.1,SEG0005,5
12617,6,BINA,16:42,16:47,558.8,SEG0006,5
12617,7,BPL,18:49,18:54,685.6,SEG0007,5
12617,8,ET,20:56,20:01,776.8,SEG0008,5
12617,9,KNW,22:03,22:08,889.8,SEG0009,5
12617,10,BSL,00:10,00:15,974.5,SEG0010,5
12617,11,MMR,02:17,02:22,1141.1,SEG0011,5
12617,12,DD,04:24,04:29,1214.3,SEG0012,5
12617,13,SUR,06:31,06:36,1365.7,SEG0013,5
12617,14,WADI,08:38,08:43,1551.4,SEG0014,5
12617,15,GTL,10:45,10:50,1641.3,SEG0015,5
12617,16,DMM,12:52,12:57,1733.0,SEG0016,5
12617,17,SBC,14:59,14:04,1820.2,,0
11402,1,SOU,06:07,06:12,0,SEG0017,0
11402,2,SHC,08:14,08:19,96.2,SEG0018,5
11402,3,JBP,10:21,10:26,208.0,SEG0019,5
11402,4,NGP,12:28,12:33,292.5,SEG0020,5
11402,5,G,14:35,14:40,440.1,SEG0021,5
11402,6,R,16:42,16:47,649.1,SEG0022,5
11402,7,BPL,18:49,18:54,724.9,SEG0007,5
11402,8,ET,20:56,20:01,816.1,,0
12415,1,INDB,06:07,06:12,0,SEG0023,0
12415,2,RTM,08:14,08:19,176.4,SEG0024,5
12415,3,KOTA,10:21,10:26,233.6,SEG0025,5
12415,4,GWL,12:28,12:33,401.3,SEG0004,5
